Recipe and Tag reference

Available Tags:
0: 	untagged
30: 	FireClayPipeSegment
31: 	MakeTarpTankTop
32: 	MakeGlassJar
33: 	ExtractSteelFromSmallerIronItems
34: 	Forge_Baking_Pan
35: 	SliceHead
36: 	MakePieDough
37: 	MakeLanternGlass
38: 	MakeStake
39: 	MakeTarpChestRig
40: 	ThermalFuel_Charcoal
41: 	MakeBoneHatchet
42: 	Forge_ShortSwordBlade
43: 	Forge_Tongs
44: 	FireClayTile
45: 	SmeltSmallerIronItem
46: 	SawLongStick
47: 	MakeStoneHammer
48: 	Assemble_Shoulder_Armor_Right
49: 	MakeBoneSewingNeedle
50: 	Assemble_Shin_Armor
51: 	CarveDice
52: 	OpenCannedFoodWithKnifeOrSharpStoneFlake
53: 	ScrapAluminumLarge
54: 	TarpHandwrap
55: 	CutUpBelt
56: 	Forge_Straight_Razor
57: 	Forge_Fine_Forks
58: 	Forge_Cup
59: 	Assemble_Forearm_Armor
60: 	SewSandals
61: 	Forge_Roasting_Pan
62: 	MillFlour
63: 	RefillLighter
64: 	CleanBandage
65: 	OpenPackOfBuns
66: 	ForgeMaceHead
67: 	SewLeatherGaiter
68: 	Drill_Steel_Chunk
69: 	MakeAdvancedFramepackFrame
70: 	Cut_Steel_Sheet_Into_Small_Sheets
71: 	Forge_Baking_Tray
72: 	Forge_Fleshing_Tool
73: 	SawIronIngotIntoBlocks
74: 	ExtractIronFromLargeItem
75: 	Forge_Masons_Chisel
76: 	MakeBoneSpoon
77: 	MakeLongStoneBlade
78: 	Forge_Sheep_Shears
79: 	KnitLegwarmers
80: 	AssembleAdvancedLargeFramepack
81: 	MakeBiscuits
82: 	Drill_Iron_Block
83: 	Forge_Silver_Sheet
84: 	WeaveCloth
85: 	CarveFleshingTool
86: 	PutFiltersOnRespirator
87: 	CutHeadSack
88: 	SewLeatherCodpiece
89: 	SawSteelSheetIntoSmallSheets
90: 	SewImprovisedBriefs
91: 	AddCraftedTriggerToBomb
92: 	MakeFliesCureFromLooseTobacco
93: 	EmptySack
94: 	PressIngotMold
95: 	RemakeLongStoneBlade
96: 	put_oxygen_tank
97: 	MakeScrapChopper
98: 	SliceWatermelon
99: 	Forge_Spoons
100: 	SewHeadSack
101: 	MakeGlassBlowingPipe
102: 	SawLargeBranch
103: 	CloseUmbrella
104: 	UntieSheetRope
105: 	Forge_Body_Armor
106: 	Forge_Metalworking_Chisel
107: 	Forge_CoatOfPlates
108: 	MakeScrapMetalMask
109: 	Forge_Gold_Sheets
110: 	Forge_Crowbar
111: 	Forge_Masons_Trowel
112: 	Forge_Saucepan
113: 	CraftMakeshiftRadio
114: 	OpenBox100
115: 	ShortenSocks
116: 	ScrapSackLarge
117: 	MakeThighBulletproofVestArmor
118: 	OpenBottleOfWine
119: 	Make_Stone_Wheel
120: 	MakePizza
121: 	Forge_Corkscrew
122: 	PackCigaretteCarton
123: 	Forge_Ball_Peen_Hammer_Head
124: 	Scrap_Gold_Object
125: 	SawIronBand
126: 	MakeTwigBroom
127: 	CarveCuttingBoards
128: 	MakeAphidsCure
129: 	MakeTarpLongSkirt
130: 	Forge_Small_Steel_Sheet
131: 	CarveKnappingTools
132: 	MakeBoneThighArmor
133: 	Forge_Fine_Scissors
134: 	MakeSawbladeWeapon
135: 	MakeClayJar
136: 	UnstackFourLogs
137: 	MakeScrapMetalShoulderArmor
138: 	MakeCrudeStoneAxe
139: 	MakeFliesCureFromChewingTobacco
140: 	SliceCakeOrPie
141: 	SpikePadding
142: 	Forge_Draw_Plate
143: 	MakeCeramicMortarAndPestle
144: 	MakeWoodCharcoalMedium
145: 	MakeGravy
146: 	UnbundleMoney
147: 	PutJarsInBox
148: 	MakeTireThighArmor
149: 	RippleFlax
150: 	DouseCottonInAlcohol
151: 	SmashSmallHerbivoreSkull
152: 	UnpackBox6
153: 	MakeTarpPoncho
154: 	PackTent
155: 	Drill_Iron_Ingot
156: 	MakeClayPlate
157: 	MakeGlassShiv
158: 	DyeClothes
159: 	Pierce_Block
160: 	MakeMildewCure
161: 	ThreshGrain
162: 	MakeTireShoulderArmorRight
163: 	MakeStoneMaulHead2
164: 	Forge_Garden_Hoe_Head
165: 	Forge_Long_Crude_Blade
166: 	MakeStoneBladeSaw
167: 	OpenCarton12
168: 	MillCornmeal
169: 	FireCeramicCrucible
170: 	Forge_Kettle
171: 	ScoopIceCream
172: 	MakeClayPot
173: 	Scrap_Smallest_Silver_Object
174: 	SawOffShotgun
175: 	DismantleElectronics
176: 	ExtractIronFromSmallItem
177: 	RemoveGasMaskFilter
178: 	DrawRandomCard
179: 	MakeFliesCureFromCigarettes
180: 	SewElbowPads
181: 	OpenBagOfFrozenFood
182: 	MakeFourLogStack
183: 	MeltSand
184: 	MakeSheetMold
185: 	Forge_Frying_Pan
186: 	MeltGlass
187: 	MakeCeramicCrucible
188: 	SawWoodenRod
189: 	ShredTobacco
190: 	MakeTileMold
191: 	FireClayBarMold
192: 	AddACigarette
193: 	MakeNoiseMaker
194: 	SewFurHat
195: 	DisinfectRag
196: 	UntieHeadband
197: 	SmeltMediumIronItem
198: 	MakeScrapMetalThighArmor
199: 	Forge_Coins
200: 	DryWildGarlic
201: 	Forge_Forks
202: 	MakeTortillaChips
203: 	CraftSheetRope
204: 	Make_Stones_from_Large_Stone
205: 	MakeSawbladePlank
206: 	Forge_Precious_Metal_Butter_Knives
207: 	MakeBlankID
208: 	PutEggsInCarton
209: 	MakeTarpBriefs
210: 	MakeBoneHatchetHead
211: 	Forge_File
212: 	Forge_Goblet
213: 	ForgeBarIntoHalves
214: 	FireClayJar
215: 	Get6Biscuits
216: 	TakeACigarette
217: 	CastSteelIngot
218: 	MakeTrapBox
219: 	AssembleMace
220: 	SmashPumpkin
221: 	SewHideJacket
222: 	SawSteelBlockIntoChunks
223: 	SharpenLongBone
224: 	FireClayPot
225: 	UnpackTent
226: 	KnitBalaclavaFull
227: 	OpenWaterRationCanWithKnifeOrSharpStoneFlake
228: 	ExtractIronFromSmallerItems
229: 	MakeSharpFlintFlake
230: 	FixWithWoodGlue
231: 	Forge_Armored_Gloves
232: 	MakeJar
233: 	SewHolsterDouble
234: 	CutUpLeather_Medium
235: 	MakeWoodenIngotCastMold
236: 	ForgeCircularSawbladeIntoHalves
237: 	RipClothing
238: 	MakeFriedOnionRings
239: 	DryGrass
240: 	Cut_Iron_Bar_Halves
241: 	MakeGarbageBagSkirt
242: 	UnstackTwoLogs
243: 	churn_butter
244: 	SawSteelIngotIntoBlocks
245: 	Make_Scrap_Knife
246: 	MakeMilkFromPowderBottle
247: 	MakeFriedShrimp
248: 	SewShirtSleeveless
249: 	MakeImprovisedLantern
250: 	KnitBalaclavaFace
251: 	ScrapSack
252: 	CollectPoppySeeds
253: 	MakeWoodForearmArmor
254: 	MakeSawbladeCudgel
255: 	SewHideSkirtKnees
256: 	MakeTireForearmArmor
257: 	OpenBoxOfBullets50
258: 	Forge_Nails_From_Wire
259: 	Assemble_Simple_Shoulder_Armor
260: 	MakeHollowBook
261: 	SmeltMediumPlusSteelItem
262: 	ForgeLongSpearHead
263: 	Forge_Carpentry_Chisel
264: 	Get6Cookies
265: 	MillSunflowerSeeds
266: 	MakeWoodBodyArmor
267: 	OpenBoxOfWine
268: 	AssembleSpear
269: 	Forge_Tweezers
270: 	MakeMattress
271: 	PressClayShingle
272: 	ExtractSteelFromMediumPlusItem
273: 	SewRagBandana
274: 	MakeGarbageBagBriefs
275: 	CarvePipe
276: 	OpenEggCarton
277: 	DismantleImprovisedLighter
278: 	MakeMilkFromPowderBucket
279: 	CutCircularSawblade
280: 	MakeTarpKneeSkirt
281: 	SewHandwrap
282: 	Forge_Scythe_Head
283: 	Make_Stone_Block_from_Stone
284: 	OpenUmbrella
285: 	MakeWoodThighArmor
286: 	SewDressLong
287: 	MakeTireBodyArmor
288: 	ScrapMetal
289: 	SewLeatherApron
290: 	Forge_Metalworking_Punch
291: 	FireClayIngotMold
292: 	Forge_Crude_Sword_Blade
293: 	UnmakeSheetSlingBag
294: 	CutBlockIntoChunks
295: 	ForgeIronBandIntoQuarters
296: 	LightCandle
297: 	MakeRemoteTrigger
298: 	MakeGuacamole
299: 	CutIronBand
300: 	ExtractIronFromIronOre
301: 	SewCrudeTarpBackpack
302: 	scrap_jewellery
303: 	FireClayTileLarge
304: 	DrySmallLeather
305: 	RollOneDice
306: 	Fire_ClayBlacksmithAnvilMold
307: 	FixWithEpoxy
308: 	MakeStoneAwl
309: 	Forge_Needle
310: 	Forge_Kitchen_Knife_Blade
311: 	MakeAnimalSkullsNecklace
312: 	MakeCabbageRolls
313: 	DismantleShortImplement
314: 	Forge_Pick_Axe_Head
315: 	FixSaw
316: 	MakeSpikedBaseballBat
317: 	SawBarIntoHalves
318: 	InsertPropaneBottleIntoLantern
319: 	ForgeScrapIntoBarQuarter
320: 	MakeScrapMorningstar
321: 	MakeLongBirdSkullsNecklace
322: 	MakePlantainPoultice
323: 	ForgeSpearHead
324: 	MakeChum
325: 	MakeBucketMaul
326: 	KnitDoily
327: 	DryJalapenos
328: 	PackBoxOfWine
329: 	SpinThreadFromWool
330: 	CopyBuildingKey
331: 	PressClayTileManually
332: 	CarveMediumHandlesFromPlank
333: 	CutUpTire
334: 	ExtinguishHurricaneLantern
335: 	SewHideSkirtShort
336: 	MakeCakeBatter
337: 	MakeBirdSkullNecklace
338: 	BreakGlass
339: 	MakeBucketOfClayCementFromGrass
340: 	MakeGarbageBagDress
341: 	Forge_Fine_Butter_Knives
342: 	WeaveBurlap
343: 	Forge_Old_Axe_Head
344: 	Drill_Steel_Block
345: 	OpenPacketOfSeeds
346: 	KnitWoolyHat
347: 	RemoveRagFromImprovisedGasMask
348: 	MakeLargeStoneAxeHead
349: 	SawIronBlockIntoChunks
350: 	ExtractIronFromBloom
351: 	Drill_Steel_Ingot
352: 	SewSheepskinVest
353: 	OpenUnlabeledCanWithKnifeOrSharpStoneFlake
354: 	FireGlassBlowingPipe
355: 	CastBlacksmithAnvil
356: 	ForgeBarIntoRod
357: 	MakeStoneBladeScythe
358: 	MakeKnifeFromMacheteBlade
359: 	AssembleSmallFramepack
360: 	Forge_Large_Knife_Blade
361: 	Forge_Precious_Metal_Spoons
362: 	MakeShingleMold
363: 	MakeBonePectoral
364: 	MakeOilPress
365: 	SewFurredHideJacket
366: 	ShortenSkirt
367: 	ConvertIntoFingerlessGloves
368: 	FireClayBowl
369: 	MakeRailspikeWeapon
370: 	SewLeatherVambrace
371: 	AssembleBlade
372: 	MakeRailspikeLongHandle
373: 	PutRagInImprovisedGasMask
374: 	SpinThreadFromFlax
375: 	MakeThreeLogStack
376: 	MakeSmokeBomb
377: 	MakeBowlOfOatmeal
378: 	MakeStoneMaulHead
379: 	Forge_Bar_Half
380: 	UnpackSetOfBooks
381: 	AddMotionSensorV2ToBomb
382: 	Forge_Steel_Sheet
383: 	PackBeerBottles
384: 	CastIronBar
385: 	EmptyPan
386: 	Forge_Sword_Blade
387: 	TieRopeBelt
388: 	Forge_Wood_Axe_Head
389: 	MakeWoodShoulderArmor
390: 	Forge_Sledgehammer_Head
391: 	Drill_Draw_Plate
392: 	Forge_Gardening_Trowel
393: 	SmashBottle
394: 	MakeLongAnimalSkullNecklace
395: 	KnitScarf
396: 	SewHideUnderpants
397: 	SmashJawbone
398: 	SewBelt
399: 	CutCircularSawbladeWithBandsaw
400: 	SmeltSmallerSteelItem
401: 	CarveWoodenSpade
402: 	MakeLargeBoneBeads
403: 	MakeMaki
404: 	PutSeedsInPacket
405: 	TarpFootwrap
406: 	HalveFillet
407: 	OpenWaterRationCan
408: 	AddMotionSensorV3ToBomb
409: 	SewHideBoots
410: 	SewKneePads
411: 	SharpenBladePoorlyWithFile
412: 	ExtractSteelFromSmallIronItem
413: 	MakeWireFromBarbedWire
414: 	SewHideBra
415: 	RemoveRespiratorFilters
416: 	SewPouch
417: 	ScutchFibre
418: 	MakeWoodenBoxTrap
419: 	MakeMetalSheet
420: 	MakeLongAnimalSkullsNecklace
421: 	Forge_KeyRing
422: 	MakeDrinkingGlass
423: 	CanReinforceLongWeapon
424: 	KnitBeany
425: 	MakeGarbageBagBandeau
426: 	SewSackGunny
427: 	Forge_Hand_Scythe_Head
428: 	UnpackCigarettes
429: 	SharpenJawbone
430: 	MakeGarbageBagShortSkirt
431: 	MakeShortbreadCookieDough
432: 	Forge_Saw
433: 	Pierce_Ingot
434: 	SewHideBandeau
435: 	MakeBirdSkullsNecklace
436: 	RechargeFilters
437: 	CarveWhistle
438: 	MakeImprovisedLighter
439: 	Forge_Bar
440: 	ExtinguishCandle
441: 	CastSteelIngotFromIron
442: 	OpenDentedUnlabeledCan
443: 	DismantleElectronicsDevice
444: 	DryRoses
445: 	DryThyme
446: 	MakeTireShoulderArmorLeft
447: 	MakeSugarCookieDough
448: 	SawLogs
449: 	MakeGarbageBagHeadSack
450: 	MakeCoke
451: 	DryBroadleafPlantain
452: 	CarveTrowel
453: 	MakeGlassBottle
454: 	BoltBat
455: 	GrindCornflour
456: 	SheetMetalWeapon
457: 	SewSheepskinPants
458: 	MakeSawbladeTableLeg
459: 	WeaveCheeseCloth
460: 	MakeGarbageBagApron
461: 	AddMotionSensorV1ToBomb
462: 	MakeSushi
463: 	CraftMakeshiftHAMRadio
464: 	SliceBread
465: 	RemoveBattery
466: 	MakeGarbageBagPoncho
467: 	SewShellsBandolier
468: 	Place12BoxesInCarton
469: 	SewCrudeLeatherBackpack
470: 	Forge_Gold_Sheet
471: 	SpikePaddingLarge
472: 	SewHideApron
473: 	MakeBucketOfClayCement
474: 	MakePipeBomb
475: 	PlaceInBox
476: 	AddTimerToBomb
477: 	SewLeatherWaterBag
478: 	CutIngotIntoBlocks
479: 	Split_Steel_Sheet_Into_Small_Sheets
480: 	MakePigTusksNecklace
481: 	SliceFillet
482: 	SewDressKnees
483: 	dry_mint
484: 	DryMarigold
485: 	MakeBaguetteDough
486: 	MillCornflour
487: 	Forge_Drill
488: 	Forge_Gorget
489: 	MakeBucketOfWallpaperPaste
490: 	SharpenBone
491: 	Forge_Metal_Mask
492: 	OpenCannedFood2
493: 	OpenUnlabeledCan
494: 	Forge_Crude_Shortsword_Blade
495: 	DismantleBlade
496: 	SlicePizza
497: 	Forge_Hand_Axe_Head
498: 	PlaceRiceInSaucepan2
499: 	MakeAnimalSkullNecklace
500: 	Forge_Fine_Spoons
501: 	MakeMirror
502: 	MakeSawbladeLongHandle
503: 	DryTobacco
504: 	Forge_Hunting_Knife_Blade
505: 	ExtractIronFromIronBloom
506: 	DuctTapeSpear
507: 	SewHolster
508: 	DivideShoulderpads
509: 	MakeComfreyPoultice
510: 	SmashCowSkull
511: 	SetCoffinUpright
512: 	DryHabaneros
513: 	MakeScrapMetalBodyArmor
514: 	CraftMakeshiftWalkieTalkie
515: 	MakeScrapMetalWeapon
516: 	CastSteelBar
517: 	FixWithDuctTape
518: 	Forge_Crude_Blade
519: 	HarvestRoe
520: 	SewHideCoat
521: 	MakeBoneShinArmor
522: 	SewHideSatchel
523: 	MakeForearmMagazineArmor
524: 	Forge_Copper_Sheet
525: 	Make2Bowls
526: 	DryChives
527: 	MakeScrewdriver
528: 	ExtractIronFromMediumPlusItem
529: 	Make_Small_Stone_Wheel
530: 	WireSpear
531: 	MakeGarbageBagKneeSkirt
532: 	Forge_Bucket
533: 	FireClayShingle
534: 	MakeRakeHeadWeapon
535: 	MakeTarpSkirt
536: 	PlaceRiceInCookingPot2
537: 	MakeStickTrap
538: 	Forge_Bar_Quarter_From_Chunk
539: 	AssembleAdvancedFramepack
540: 	SewClothSatchel
541: 	ButcherSmallAnimal
542: 	MakeHalloweenPumpkin
543: 	MakeMeatPatty
544: 	FixFishingRod
545: 	PressClayTile
546: 	OpenJarOfFood
547: 	MakeClayMug
548: 	SewHidePants
549: 	ExtractSteelFromLargeIronItem
550: 	MakeWoodCharcoalLarge
551: 	RefillHurricaneLantern
552: 	Forge_Lantern
553: 	SewHideDress
554: 	DrySunflower
555: 	MakeChampagneGlass
556: 	SewSack
557: 	CarveSmallHandlesFromPlank
558: 	SewHidePants2
559: 	SewHideSkirt
560: 	Forge_Buckle
561: 	MakeWoodenShingleMold
562: 	MakeMolotovCocktail
563: 	CarveLongHandle
564: 	MakeToothNecklace
565: 	GatherGunpowder
566: 	CarvePlank
567: 	RipSheets
568: 	SmashBone
569: 	CarveShortBat
570: 	OpenBoxOfFishingHooks
571: 	ForgeHandguardDagger
572: 	EmptyTray
573: 	Forge_Block_From_Chunk
574: 	MakeWineGlass
575: 	MakeSawbladeHatchet
576: 	MakeImprovisedFlashlight
577: 	CraftTwine
578: 	MakeFirewoodBundle
579: 	MakeCraftedGasMaskFilter
580: 	SlicePumpkin
581: 	MakeDuctTapeHolster
582: 	MakePigTuskNecklace
583: 	CutTarp
584: 	PlacePastaInSaucepan2
585: 	FireLimestone
586: 	CastIronIngot
587: 	MakeDullBoneKnife
588: 	SawBarHalfIntoQuarters
589: 	MakeTireSandals
590: 	GetLongStick
591: 	Forge_Scrap_Sword
592: 	SewCrudeLeatherShoes
593: 	ExtractSteelFromLargeItem
594: 	MakeWoodCharcoalSmall
595: 	MakeBoneBodyArmor
596: 	AssembleLargeFramepack
597: 	OpenCanOfBeverage
598: 	MakeSinewThread
599: 	PlacePieInBakingPan
600: 	Scrap_Silver_Object
601: 	CutChicken
602: 	Make_Scrap_Shortsword
603: 	UnbundleFirewood
604: 	PlacePastaInCookingPot2
605: 	DisinfectBandage
606: 	stack_items
607: 	RefillBlowTorch
608: 	Assemble_FullMetal_Forearm_Armor
609: 	MakeWoodShinArmor
610: 	MakeCoffeeTeacup
611: 	CarveMediumHandle
612: 	Scrap_Small_Silver_Object
613: 	MakeAdvancedLargeFramepackFrame
614: 	SewLeatherGloves
615: 	forge_garden_fork_head
616: 	CarveWoodenSpoon
617: 	DryLargeLeather
618: 	SewHideSlingBag
619: 	PressBarMold
620: 	TieHeadband
621: 	SmeltMediumSteelItem
622: 	PickThread
623: 	SewTrousers
624: 	MakeRailspikeIronPipe
625: 	Get6Muffins
626: 	ShortenSleeves
627: 	SmeltSmallSteelItem
628: 	Cut_Iron_Chunks
629: 	AssembleStoneMace
630: 	MakeWoodenBucket
631: 	MakeSpikedCudgel
632: 	MakeBoneChoker
633: 	MakeJawboneAxe
634: 	CollectSunflowerSeeds
635: 	MakeMagnesiumShavings
636: 	Drill_Heading_Tool
637: 	Make_Scrap_Sword
638: 	CutTurkey
639: 	DrySage
640: 	MakeWesternBoots
641: 	MakeSquidCalamari
642: 	SmashHerbivoreSkull
643: 	MakeBodyMagazineArmor
644: 	MakeForearmBulletproofVestArmor
645: 	PressOil
646: 	Forge_Clawhammer_Head
647: 	SmashStagSkull
648: 	MakeGarbageBagLongSkirt
649: 	MakeCeramicCrucibleSmall
650: 	MakeLargeStoneAxe
651: 	ChopLargeBranch
652: 	MakeFishingNet
653: 	DryCommonMallow
654: 	MakeClayPipeSegment
655: 	SawCircularSawblade
656: 	unstack_items
657: 	OpenBoxOfPaperclip
658: 	ExtractIronBloom
659: 	CutSmallMetalSheet
660: 	FireSmokingPipe
661: 	DryMediumLeather
662: 	MakeJawboneMorningstar
663: 	MakeLongBirdSkullNecklace
664: 	FillPipe
665: 	Forge_JarLid
666: 	MakeSawPlank
667: 	MakeBowlOfBeans
668: 	InsertBattery
669: 	MakeBrickMold
670: 	DryBlackSage
671: 	SewHideSleepingBag
672: 	MakeBrakeWeapon
673: 	MakeBirdSkullEarrings
674: 	FixWithEpoxyAndRags
675: 	MakeFishingRod
676: 	MakeCrudeKnife
677: 	BoneSpikeWeapon
678: 	Assemble_Articulated_Shin_Armor
679: 	SawIntoPieces
680: 	MakeTarpShortSkirt
681: 	MakeBreadDough
682: 	DryCorn
683: 	MakeBucketOfPlaster
684: 	GetBaconBits
685: 	SewHideHoodie
686: 	ExtractSteelFromMediumItem
687: 	MakeScrapMetalGloves
688: 	MakeTarpDress
689: 	MakeCoffeeMug
690: 	CarveClaySculptingTool
691: 	DrillPlank
692: 	SmashWatermelon
693: 	MakeShinBulletproofVestArmor
694: 	MakeJawboneClub
695: 	Forge_Machete_Blade
696: 	PackSleepingBag
697: 	ReclaimFromSpear
698: 	DryBasil
699: 	Scrap_Silver_Jewellery
700: 	MakeStoneMaceHead
701: 	DryFlax
702: 	OpenBoxOfBullets20
703: 	DryWheat
704: 	SewHeadwrap
705: 	RemoveFur
706: 	CanReinforceWeapon
707: 	GrindFlour
708: 	Scrap_Large_Copper
709: 	Carve8SmallHandles
710: 	Forge_Scrap_Shortsword
711: 	SmeltCopperOre
712: 	DryBarley
713: 	MakeBoneMask
714: 	DryHemp
715: 	OpenPackOfBeer
716: 	SawbladeBat
717: 	DryCilantro
718: 	OpenBottleOfBeer
719: 	Carve4SmallHandles
720: 	ForgeSmallIronBand
721: 	Make4Bowls
722: 	MakeStoneBlade
723: 	SewLeatherToolRoll
724: 	MakeLargeBoneBead
725: 	SewHideRobe
726: 	SewPillow
727: 	WeaveTwineShoes
728: 	CarveKnittingNeedles
729: 	Forge_Large_Hook
730: 	SewSkirtKnees
731: 	PackCigarettes
732: 	UnstackThreeLogs
733: 	MakeCrudeWhetstone
734: 	ForgeIronBand
735: 	Forge_Nails_From_Piece
736: 	MakeWoodCharcoal
737: 	MakeStoneDrill
738: 	BindSpear
739: 	MakeRailspikeCudgel
740: 	MakeToothbrushShiv
741: 	PlaceCakeInBakingPan
742: 	CutUpTireWithBandsaw
743: 	UntieRopeBelt
744: 	MakeSmallMetalSheet
745: 	UnpackCigaretteCarton
746: 	MakeChocolateChipCookieDough
747: 	MakeGlassPanel
748: 	CutUpLeather_Small
749: 	MakeNewspaperHat
750: 	MakeScrapCleaver
751: 	PrepareMuffins
752: 	MakeScarecrow
753: 	AssembleLargeTarpFramepack
754: 	CarveStick
755: 	DrySoybeans
756: 	ExtractSteelFromMediumIronItem
757: 	MakeTentKit
758: 	Assemble_Shoulder_Armor_Left
759: 	ReplaceSmallSawBlade
760: 	CarveWoodenMask
761: 	SewLeatherGorget
762: 	MakeTarpApron
763: 	MakeBowlOfCereal
764: 	CastSteelBarFromIron
765: 	NailSpikeSmallWeapon
766: 	MakeCageTrap
767: 	ForgeScrapIntoChunk
768: 	SewHideBraStrapless
769: 	MakeBucketOfConcrete
770: 	TanLeather
771: 	OpenCandyPackage
772: 	FireHardenSpear
773: 	SewHideTankTop
774: 	Make_Stone_Anvil
775: 	SewImprovisedBandeau
776: 	GrindCornmeal
777: 	CutBar
778: 	Forge_Wrench
779: 	MakeChocolateCookieDough
780: 	MakeImprovisedGasMask
781: 	MakeBoneFishingHook
782: 	SliceSalami
783: 	MakeSplint
784: 	MakeHotDog
785: 	Split_Silver_Bar
786: 	Forge_Fishing_Hooks
787: 	FireCeramicTeacup
788: 	MakeSheetSlingBag
789: 	Forge_Precious_Metal_Forks
790: 	UnpackSleepingBag
791: 	OpenBoxOfCannedFood
792: 	MakeTarpSlingBag
793: 	PickAramidThread
794: 	Forge_Meat_Cleaver_Blade
795: 	TarpSack
796: 	SewHideFannyBag
797: 	Scrap_Gold_Jewellery
798: 	TarpHat
799: 	CarveSpear
800: 	Cut_Iron_Bar_Quarters
801: 	SmeltMediumPlusIronItem
802: 	DismantleLongImplement
803: 	MakeCrudeWoodenTongs
804: 	MakeLargeBellows
805: 	TakeAGarbageBag
806: 	MakePancake
807: 	MakeBlockBludgeon
808: 	SewSkirtLong
809: 	MakeSpadeHeadCudgel
810: 	MakeWildGarlicPoultice
811: 	MakeGarbageBagTankTop
812: 	MakeRemoteControllerV1
813: 	CutLeatherInHalf
814: 	MakeRemoteControllerV3
815: 	MakeRemoteControllerV2
816: 	Forge_Forceps
817: 	ShortenTrousers
818: 	MakeCanPipe
819: 	NailSpikeWeapon
820: 	DismantlePowerBar
821: 	Drill_Iron_Chunk
822: 	FireClayPlate
823: 	SawDownBaseballBat
824: 	MakeCeramicTeacup
825: 	UnpackBox12
826: 	MakeSnareTrap
827: 	MakeTwoLogStack
828: 	DryPoppyPods
829: 	EmptySackClay
830: 	GetBaconRashers
831: 	SmeltSmallIronItem
832: 	SewLeatherPants
833: 	place_ammo_in_box
834: 	Forge_Smithing_Hammer_Head
835: 	ExtractSteelFromSmallItem
836: 	Forge_Small_Files
837: 	Forge_Club_Hammer_Head
838: 	TakeATissue
839: 	HeckleFlax
840: 	DryRosemary
841: 	MakeBoneShoulderArmor
842: 	MakeFlameBomb
843: 	MakeToast
844: 	MakeTarpBandeau
845: 	MakeTireShinArmor
846: 	ReplaceHacksawBlade
847: 	Forge_Heading_Tool
848: 	Scrap_Smaller_Gold_Object
849: 	Assemble_Articulated_Thigh_Armor
850: 	Forge_Metal_Helmet
851: 	SpikeArmorWelding
852: 	DryHops
853: 	SmeltLargeIronItem
854: 	SewHideSkirtLong
855: 	UnpackBoxOfAdhesiveBandages
856: 	CraftRope
857: 	RailspikeBaseballBat
858: 	RipDenimClothing
859: 	Pierce_Chunk
860: 	Forge_Small_Knife
861: 	UnpackTongueDepressors
862: 	ForgeRodIntoBar
863: 	SewHideHeadSack
864: 	CarveBucket
865: 	CollectSeeds
866: 	MakeWoodenToolbox
867: 	MakeScrapMetalShinArmor
868: 	SewBandolier
869: 	ExtractSteelFromMediumPlusIronItem
870: 	MakeShiv
871: 	OpenCannedFood
872: 	OpenHotdogPack
873: 	Forge_Codpiece
874: 	SewHideBriefs
875: 	MakeTinFoilHat
876: 	MakeSmokingPipe
877: 	Forge_Cooking_Pot
878: 	FireBrick
879: 	ScratchTicket
880: 	SewFootwrap
881: 	MakeWoodenTileMold
882: 	CanReinforceShortWeapon
883: 	PutFilterOnGasMask
